unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS160,Hozier ,Take Me To Church,Jul 2014,8,9,-5,2,13,3,32,"100,000","200,000",3.5,"600,000,000",15,129,3,4,2014,3,15,0,8,1
TPS161,Plain White T's,Hey There Delilah,"Apr, 2007",5,4,-11,2,9,2,10,"50,000","100,000",3.5,"300,000,000",5,104,6,4,2007,5,15,0,8,1
TPS162,Flo-Rida & T-Pain,Low,"Nov, 2007",6,1,-6,1,11,1,18,"150,000","300,000",3.5,"400,000,000",15,128,5,7,2007,2,15,0,10,0
TPS163,Matchbox Twenty,If You're Gone,"Oct, 2000",9,6,-7,1,8,2,12,"150,000","200,000",3,"200,000,000",10,110,3,4,2000,2,15,1,7,0
TPS164,Kelly Clarkson,Because of You,"Sep, 2005",5,7,-5,4,10,2,17,"200,000","300,000",3,"200,000,000",30,140,2,4,2005,7,15,0,8,1
TPS165,Shawn Mendez & Camila Cabello,Senorita,"Jun, 2019",9,3,-6,2,12,1,43,"400,000","600,000",3,"1,200,000,000",15,117,4,6,2019,3,15,0,7,1
TPS166,LeAnn Rimes,Can't Fight The Moonlight,"Sep, 2000",6,5,-6,4,9,2,3,"30,000","100,000",3,"100,000,000",5,98,6,3,2000,1,15,0,6,0
TPS167,The Black Eyed Peas,Where is the Love?,"Jun, 2003",7,6,-3,5,13,2,30,"300,000","600,000",3.5,"500,000,000",40,94,2,2,2003,2,15,0,7,0
TPS168,Desitny's Child,Jumpin' Jumpin',"May, 2000",8,2,-5,3,8,1,11,"100,000","200,000",3,"300,000,000",10,89,6,6,2000,2,15,0,6,0
TPS169,Gwen Stefani & Akon,The Sweet Escape,"Dec, 2006",4,4,-4,3,10,1,8,"100,000","200,000",3,"500,000,000",5,120,4,4,2006,,15,0,7,1
TPS170,Justin Bieber,Sorry,"Oct, 2015",6,5,-4,2,14,2,73,"800,000","1,000,000",3,"3,600,000,000",50,100,3,3,2015,10,15,0,8,0
TPS171,Marshmello & Bastille,Happier,"Aug, 2018",7,9,-3,3,11,3,39,"200,000","400,000",3,"500,000,000",10,100,3,3,2018,2,15,0,7,1
TPS172,Rihanna,Don't Stop The Music,"Aug, 2007",5,2,-6,3,12,1,68,"600,000","800,000",3.5,"1,500,000,000",50,123,6,7,2007,2,15,1,8,1
TPS173,Adele,Easy On Me,"Oct, 2021",5,6,-8,2,14,2,64,"600,000","1,000,000",3.5,"400,000,000",50,142,2,3,2021,2,15,0,8,1
TPS174,OneRepublic,I Ain't Worried,"Jun, 2022",7,6,-6,3,8,2,50,"200,000","500,000",3,"300,000,000",30,140,7,7,2022,7,15,0,5,0
TPS175,Uncle Kracker,Follow Me,"Mar, 2001",6,4,-5,3,7,1,3,"30,000","100,000",3,"100,000,000",5,105,7,4,2001,3,15,0,7,0
TPS176,50 Cent & Olivia,Candy Shop,"Feb, 2005",5,1,-8,2,9,1,22,"50,000","100,000",3.5,"300,000,000",2,125,8,6,2005,1,18,0,7,0
TPS177,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),"Apr, 2001",8,6,-4,5,12,1,9,"80,000","100,000",3.5,"200,000,000",10,110,6,7,2001,2,18,0,7,1
TPS178,Sia,Chandelier,"Mar, 2014",6,5,-3,2,14,2,38,"200,000","400,000",3.5,"900,000,000",20,117,3,3,2014,2,15,0,8,1
TPS179,P!nk,Get The Party Started,"Oct, 2001",4,2,-3,4,9,1,28,"300,000","400,000",3.5,"400,000,000",20,129,8,7,2001,2,15,0,8,1
TPS180,The Chainsmokers & Daya,Don't Let Me Down,"Feb, 2016",8,3,-5,4,11,1,35,"400,000","400,000",3,"1,300,000,000",15,160,4,4,2016,10,15,0,8,0
TPS181,Halsey,Without Me,"Oct, 2018",6,6,-7,3,12,2,44,"300,000","300,000",3.5,"800,000,000",30,136,4,7,2018,2,15,0,9,0
TPS182,Lenny Kravitz,Again,"Oct, 2000",9,7,-5,3,8,2,9,"50,000","100,000",3.5,"200,000,000",5,79,6,3,2000,4,15,0,7,1
TPS183,Fat Joe & Ahanti,What's Luv?,"Feb, 2002",8,2,-5,2,9,1,6,"100,000","100,000",3,"200,000,000",10,94,5,7,2002,3,15,0,6,1
TPS184,Blu Cantrell,Hit 'em Up Style (Oops!),"May, 2001",5,2,-5,4,7,1,1,"30,000","50,000",3,"200,000,000",5,90,4,7,2001,1,18,0,6,0
TPS185,Maroon 5 & Christina Aguilera,Moves Like Jagger,"Jul, 2011",6,1,-4,2,13,1,47,"400,000","300,000",3.5,"1,400,000,000",10,128,8,7,2011,2,15,0,9,0
TPS186,OMI,Cheerleader,"Nov, 2014",8,2,-6,2,10,1,7,"40,000","100,000",3,"300,000,000",5,100,7,5,2014,8,15,0,7,0
TPS187,Kay Perry,Hot 'n' Cold,"Jul, 2008",7,3,-4,3,12,2,38,"400,000","600,000",3,"500,000,000",30,132,3,5,2008,2,10,0,9,0
TPS188,Creed,Higher,"Jan, 2000",5,4,-6,2,8,1,5,"80,000","200,000",3,"200,000,000",10,156,3,4,2000,5,15,0,6,1
TPS189,Panic! At the Disco,High Hopes,"Jun, 2018",8,5,-3,2,11,2,31,"200,000","400,000",3,"700,000,000",20,82,8,6,2018,2,15,1,8,0
TPS190,Mya,Case Of The Ex (Whatcha Gonna Do),"Aug, 2000",6,6,-5,3,7,1,1,"60,000","100,000",3,"200,000,000",5,98,3,5,2000,1,15,1,6,0
TPS191,Janet Jackson,All For You,"Mar, 2001",7,8,-5,4,9,2,5.5,"200,000","400,000",3,"100,000,000",20,114,6,6,2001,1,15,0,7,0
TPS192,Usher,U Remind Me,June 2001,5,3,-5,1,10,1,20,"300,000","500,000",3.5,"400,000,000",30,94,3,4,2001,1,15,0,8,0
TPS193,Lil Nas X,Montero (Call Me By Your Name),"Mar, 2021",7,4,-7,2,12,2,53,"300,000","300,000",3,"600,000,000",20,179,8,7,2021,3,18,1,9,0
TPS194,Lady GaGa & Colby O'Donis,Just Dance,"Jun, 2008",6,1,-5,3,14,1,51,"100,000","150,000",3.5,"1,000,000,000",5,119,8,8,2008,2,15,0,10,1
TPS195,Meghan Trainor,All About That Bass,"Jul, 2014",4,1,-4,3,13,1,31,"150,000","300,000",3,"400,000,000",15,134,6,5,2014,2,15,0,8,1
TPS196,Rihanna & Calvin Harris,We Found Love,"Sep, 2011",5,8,-4,2,14,1,68,"500,000","800,000",3.5,"1,500,000,000",25,128,7,6,2011,2,15,1,10,1
TPS197,Teddy Swims,Lose Control,"Aug, 2023",9,3,-4,3,7,2,12,"60,000","100,000",3,"100,000,000",3,160,3,3,2023,3,15,0,5,1
TPS198,Ja Rule & Ashanti,Always On Time,"Nov, 2001",8,3,-8,2,9,2,8,"150,000","200,000",3.5,"200,000,000",10,97,7,6,2001,3,18,0,7,1
TPS199,Sam Smith,Stay With Me,"Apr, 2014",5,8,-6,3,13,1,56,"200,000","400,000",3,"600,000,000",15,84,4,3,2014,2,15,0,8,0
TPS200,Wiz Khalifa & Charlie Puth,See You Again,"Mar, 2015",4,8,-8,3,14,3,48,"300,000","400,000",3.5,"3,500,000,000",20,80,3,6,2015,3,15,1,10,1
